Freq.	V(n003)
5.01187233627271e+01	(-3.64776862475907e-06dB,-5.95410290662654e-02°)
5.62341325190347e+01	(-4.59226813438657e-06dB,-6.68061292493552e-02°)
6.30957344480191e+01	(-5.78132229468121e-06dB,-7.49577040146415e-02°)
7.07945784384136e+01	(-7.27825235236249e-06dB,-8.41039189139556e-02°)
7.94328234724279e+01	(-9.16277493204825e-06dB,-9.43661374011292e-02°)
8.91250938133743e+01	(-1.15352471816273e-05dB,-1.05880531099366e-01°)
9.99999999999997e+01	(-1.45220110193128e-05dB,-1.18799886501350e-01°)
1.12201845430196e+02	(-1.82821211090292e-05dB,-1.33295632050051e-01°)
1.25892541179416e+02	(-2.30158148151383e-05dB,-1.49560112461828e-01°)
1.41253754462275e+02	(-2.89751750721533e-05dB,-1.67809140419151e-01°)
1.58489319246111e+02	(-3.64775539924950e-05dB,-1.88284859419457e-01°)
1.77827941003892e+02	(-4.59224717783143e-05dB,-2.11258955665518e-01°)
1.99526231496887e+02	(-5.78128907831471e-05dB,-2.37036261471749e-01°)
2.23872113856833e+02	(-7.27819970248969e-05dB,-2.65958797796135e-01°)
2.51188643150957e+02	(-9.16269148939671e-05dB,-2.98410309249678e-01°)
2.81838293126444e+02	(-1.15351149359744e-04dB,-3.34821351350517e-01°)
3.16227766016837e+02	(-1.45218014247275e-04dB,-3.75674996948838e-01°)
3.54813389233574e+02	(-1.82817889292592e-04dB,-4.21513236726124e-01°)
3.98107170553496e+02	(-2.30152883492253e-04dB,-4.72944157545180e-01°)
4.46683592150961e+02	(-2.89743406923296e-04dB,-5.30649992273050e-01°)
5.01187233627270e+02	(-3.64762316011162e-04dB,-5.95396145590748e-01°)
5.62341325190347e+02	(-4.59203759691670e-04dB,-6.68041312305449e-01°)
6.30957344480191e+02	(-5.78095692137168e-04dB,-7.49548817837637e-01°)
7.07945784384135e+02	(-7.27767328213202e-04dB,-8.40999324881569e-01°)
7.94328234724278e+02	(-9.16185719545302e-04dB,-9.43605065695427e-01°)
8.91250938133742e+02	(-1.15337927208720e-03dB,-1.05872577595327e+00°)
9.99999999999995e+02	(-1.45197059584322e-03dB,-1.18788652335235e+00°)
1.12201845430196e+03	(-1.82784680452361e-03dB,-1.33279764181129e+00°)
1.25892541179416e+03	(-2.30100255144228e-03dB,-1.49537699945874e+00°)
1.41253754462275e+03	(-2.89660004823182e-03dB,-1.67777484467446e+00°)
1.58489319246111e+03	(-3.64630148972915e-03dB,-1.88240148765776e+00°)
1.77827941003891e+03	(-4.58994321717730e-03dB,-2.11195808307047e+00°)
1.99526231496887e+03	(-5.77763820477373e-03dB,-2.36947077889067e+00°)
2.23872113856833e+03	(-7.27241477038427e-03dB,-2.65832848290279e+00°)
2.51188643150957e+03	(-9.15352560747132e-03dB,-2.98232446437417e+00°)
2.81838293126444e+03	(-1.15205932106516e-02dB,-3.34570194472903e+00°)
3.16227766016836e+03	(-1.44987964445549e-02dB,-3.75320372386254e+00°)
3.54813389233573e+03	(-1.82453492266023e-02dB,-4.21012571935186e+00°)
3.98107170553495e+03	(-2.29575766230114e-02dB,-4.72237403849434e+00°)
4.46683592150961e+03	(-2.88829560470346e-02dB,-5.29652482310141e+00°)
5.01187233627269e+03	(-3.63315604920081e-02dB,-5.93988555821426e+00°)
5.62341325190346e+03	(-4.56914135937745e-02dB,-6.66055575864231e+00°)
6.30957344480189e+03	(-5.74473362018959e-02dB,-7.46748386648161e+00°)
7.07945784384134e+03	(-7.22039191255257e-02dB,-8.37051571885155e+00°)
7.94328234724277e+03	(-9.07132767832896e-02dB,-9.38042797869402e+00°)
8.91250938133740e+03	(-1.13908189803977e-01dB,-1.05089373676661e+01°)
9.99999999999994e+03	(-1.42941083094773e-01dB,-1.17686733379127e+01°)
1.12201845430196e+04	(-1.79228940580495e-01dB,-1.31730979966630e+01°)
1.25892541179416e+04	(-2.24503636148017e-01dB,-1.47363528634644e+01°)
1.41253754462275e+04	(-2.80866148902217e-01dB,-1.64730079272286e+01°)
1.58489319246110e+04	(-3.50841610663145e-01dB,-1.83976855290640e+01°)
1.77827941003891e+04	(-4.37430018267438e-01dB,-2.05245316132875e+01°)
1.99526231496887e+04	(-5.44144752435431e-01dB,-2.28665125432461e+01°)
2.23872113856832e+04	(-6.75028022372741e-01dB,-2.54345304526751e+01°)
2.51188643150956e+04	(-8.34629619550045e-01dB,-2.82363776256374e+01°)
2.81838293126443e+04	(-1.02793403869017e+00dB,-3.12755928481337e+01°)
3.16227766016836e+04	(-1.26022272112329e+00dB,-3.45503380632332e+01°)
3.54813389233573e+04	(-1.53686464783830e+00dB,-3.80524725115445e+01°)
3.98107170553494e+04	(-1.86304081469169e+00dB,-4.17670447991145e+01°)
4.46683592150960e+04	(-2.24342539950765e+00dB,-4.56724246808342e+01°)
5.01187233627269e+04	(-2.68186487623740e+00dB,-4.97412316727261e+01°)
5.62341325190345e+04	(-3.18110941030960e+00dB,-5.39420806150096e+01°)
6.30957344480188e+04	(-3.74265158166742e+00dB,-5.82419802053947e+01°)
7.07945784384133e+04	(-4.36671217560736e+00dB,-6.26090453831116e+01°)
7.94328234724275e+04	(-5.05238425465329e+00dB,-6.70150834838030e+01°)
8.91250938133739e+04	(-5.79791395576494e+00dB,-7.14376279887240e+01°)
1.00000000000000e+05	(-6.60107039718001e+00dB,-7.58611153783684e+01°)
