Freq.	V(n003)
8.91250938133740e+03	(-7.03206241246465e-02dB,-8.94769566934341e+00°)
9.99999999999994e+03	(-8.83681192938512e-02dB,-1.00291041869504e+01°)
1.12201845430196e+04	(-1.10996275570847e-01dB,-1.12382592454391e+01°)
1.25892541179416e+04	(-1.39338586387129e-01dB,-1.25890704413574e+01°)
1.41253754462275e+04	(-1.74792667658256e-01dB,-1.40964950994771e+01°)
1.58489319246110e+04	(-2.19072765733637e-01dB,-1.57764293973594e+01°)
1.77827941003891e+04	(-2.74267766160982e-01dB,-1.76455105543759e+01°)
1.99526231496887e+04	(-3.42902445551286e-01dB,-1.97208025758777e+01°)
2.23872113856832e+04	(-4.27997838088903e-01dB,-2.20193363936664e+01°)
2.51188643150956e+04	(-5.33124116921575e-01dB,-2.45574780609052e+01°)
2.81838293126443e+04	(-6.62436465381610e-01dB,-2.73501091389895e+01°)
3.16227766016836e+04	(-8.20681498571785e-01dB,-3.04096251967824e+01°)
3.54813389233573e+04	(-1.01315982040000e+00dB,-3.37447942806009e+01°)
3.98107170553494e+04	(-1.24563070530778e+00dB,-3.73595670300359e+01°)
4.46683592150960e+04	(-1.52414941378185e+00dB,-4.12519871806555e+01°)
5.01187233627269e+04	(-1.85483765130938e+00dB,-4.54133997631551e+01°)
5.62341325190345e+04	(-2.24360302286939e+00dB,-4.98281700083892e+01°)
6.30957344480188e+04	(-2.69584118438495e+00dB,-5.44740828085088e+01°)
7.07945784384133e+04	(-3.21616889624835e+00dB,-5.93234771654891e+01°)
7.94328234724275e+04	(-3.80824003613727e+00dB,-6.43449974148356e+01°)
8.91250938133739e+04	(-4.47468458639760e+00dB,-6.95056623289302e+01°)
1.00000000000000e+05	(-5.21718326152429e+00dB,-7.47728331680739e+01°)
